key,scouter,match,alliance,team,robot_move_in_auto,a-stop_activated,total_fuel_scored,speed_to_shoot_fuel,accuracy_to_shoot_fuel,number_of_fuel_scored,duirng_inactive_did_collect,during_inactive_did_pass,collect_from_alliance_zone,collect_from_neutral_zone,travel_over_bump,travel_under_trench,was_intake_good,defensive_whole_game,shot_from_same_position,grade_robot's_performance,result_of_match,energized_ranking_point,supercharged_ranking_point,traversal_ranking_point,total_points_scored,comments
3.Blue 2,Amanah Obaji ,3,b2,191,0,1,2,1,1,3,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,Hello World!
3.Blue 3,Andrew Crawford  ,3,b3,578,1,1,1,3,1,5,0,1,0,0,1,0,0,0,1,-1,-1,0,0,0,1,Hello World!
3.Red 1,Rachel Case ,3,r1,3173,1,0,5,2,2,4,1,1,0,0,0,0,1,0,1,-1,1,1,0,1,0,Hello World!
3.Red 2,Andrew Crawford  ,3,r2,7903,0,0,2,1,2,3,0,1,0,1,1,0,1,0,1,3,1,1,0,1,0,Hello World!
3.Red 3,Domenic Giammusso ,3,r3,3015,0,-1,2,3,1,4,0,1,1,0,1,0,0,0,0,2,-1,1,1,1,1,Hello World!
4.Blue 1,Colby Jackson ,4,b1,1511,0,1,3,1,3,4,0,1,1,1,1,1,1,0,0,4,-1,0,0,0,1,Hello World!
4.Blue 2,Eli Harrison ,4,b2,3951,0,0,1,1,2,4,1,0,1,1,0,0,0,1,1,1,-1,0,0,1,0,Hello World!
4.Blue 3,Mason Silva ,4,b3,4458,1,0,2,1,1,4,0,1,0,0,0,0,1,1,0,3,-1,0,0,0,0,Hello World!
4.Red 1,Madison DeCicca ,4,r1,1518,0,-1,5,1,2,3,1,0,0,0,1,0,1,1,0,4,0,1,0,1,1,Hello World!
4.Red 2,Caitlin Munier ,4,r2,3799,1,0,1,3,2,4,0,0,1,1,0,0,0,0,1,4,-1,1,1,0,0,Hello World!
4.Red 3,Dean Blanchard ,4,r3,378,0,0,3,1,2,3,0,1,0,1,1,0,1,0,1,3,-1,0,1,0,1,Hello World!
5.Blue 1,Celton Norter ,5,b1,5590,0,-1,4,1,1,1,0,1,0,0,1,1,1,1,0,4,1,0,0,0,1,Hello World!
5.Blue 2,Jonah Woika ,5,b2,6423,0,-1,3,2,1,5,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,Hello World!
5.Blue 3,Celton Norter ,5,b3,325,1,-1,3,3,1,5,0,1,0,1,0,1,1,1,1,4,0,1,0,1,1,Hello World!
5.Red 1,Eli Harrison ,5,r1,3181,1,-1,1,3,3,1,1,0,1,1,0,1,0,1,1,-1,1,1,0,1,0,Hello World!
5.Red 2,Vaishu Das ,5,r2,1126,0,-1,4,3,2,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,Hello World!
5.Red 3,Carter Silva ,5,r3,20,1,0,4,2,2,3,0,1,1,1,0,1,0,0,1,-1,-1,1,0,0,1,Hello World!
6.Blue 1,Dean Blanchard ,6,b1,1507,0,1,2,3,2,3,1,1,1,1,1,0,0,0,0,4,1,0,0,0,1,Hello World!
6.Blue 2,Nicholas Munier ,6,b2,144,1,1,2,1,1,4,0,1,0,0,1,0,1,0,0,3,1,1,0,0,0,Hello World!
6.Blue 3,Mason Silva ,6,b3,424,0,1,5,1,1,1,1,0,1,0,0,1,0,0,1,3,0,0,0,1,0,Hello World!
6.Red 1,Jonah Woika ,6,r1,3003,0,0,2,2,3,5,0,0,0,1,1,0,0,0,0,4,-1,1,1,1,0,Hello World!
6.Red 2,Andrew Crawford  ,6,r2,4093,0,-1,2,1,3,4,1,0,1,0,0,0,0,1,0,3,-1,1,0,1,1,Hello World!
6.Red 3,Ruth Christensen ,6,r3,9767,0,-1,4,2,2,3,1,1,0,1,0,0,1,1,1,-1,0,0,1,1,0,Hello World!
7.Blue 1,Tetra Ukav ,7,b1,4930,1,-1,1,1,3,3,1,1,0,1,0,1,1,0,0,2,-1,0,1,1,1,Hello World!
7.Blue 2,Ruth Christensen ,7,b2,1056,0,1,4,3,3,4,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,Hello World!
7.Blue 3,Dean Blanchard ,7,b3,3044,1,0,2,1,2,5,1,1,0,0,1,1,0,1,1,1,-1,0,0,1,0,Hello World!
7.Red 1,Domenic Giammusso ,7,r1,1781,1,0,2,2,1,2,0,0,1,1,0,1,0,1,1,2,0,0,1,0,1,Hello World!
7.Red 2,Connor Rapp ,7,r2,1450,1,-1,3,1,2,3,0,0,0,0,1,1,1,1,1,2,-1,0,1,1,0,Hello World!
7.Red 3,Amanah Obaji ,7,r3,8503,0,-1,4,1,1,2,0,1,0,0,0,0,1,0,0,-1,1,1,0,0,1,Hello World!
8.Blue 1,Kai  Wilbur ,8,b1,9016,1,-1,3,1,3,5,1,1,0,1,0,1,1,1,1,4,1,0,0,1,0,Hello World!
8.Blue 2,Celton Norter ,8,b2,6947,0,-1,4,1,1,2,1,0,0,0,0,0,0,0,1,3,-1,0,1,0,1,Hello World!
8.Blue 3,Matthew Mazzota ,8,b3,6868,1,-1,5,2,3,3,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,Hello World!
8.Red 1,Autumn Schoenfeld ,8,r1,340,0,0,5,2,1,5,1,0,0,0,0,1,1,1,0,4,1,1,1,1,0,Hello World!
8.Red 2,Gianmarco D'Angelo  ,8,r2,1787,1,1,2,1,3,3,1,0,0,1,1,0,0,1,0,2,-1,0,0,0,1,Hello World!
8.Red 3,Madison DeCicca ,8,r3,3838,0,-1,5,3,2,1,1,0,1,1,0,1,0,0,0,2,-1,1,0,1,0,Hello World!
9.Blue 1,Gianmarco D'Angelo  ,9,b1,2340,0,-1,5,2,2,2,0,1,0,1,1,1,1,0,0,2,0,0,1,0,0,Hello World!
9.Blue 2,Madison DeCicca ,9,b2,639,0,-1,5,3,3,4,1,1,0,1,1,0,1,0,0,3,0,1,1,1,0,Hello World!
9.Blue 3,Carter Silva ,9,b3,2228,0,-1,4,1,3,1,0,0,1,1,1,1,0,0,0,2,-1,0,0,0,1,Hello World!
9.Red 1,Nathan DeVito ,9,r1,1585,1,1,4,1,1,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,Hello World!
9.Red 2,Arthur Sayre ,9,r2,353,1,1,4,1,3,3,1,0,0,1,0,0,1,0,1,4,0,0,1,0,0,Hello World!
9.Red 3,Nathan DeVito ,9,r3,694,1,0,1,2,2,3,1,0,1,0,0,0,0,0,0,-1,-1,1,0,0,1,Hello World!
10.Blue 1,Mason Silva ,10,b1,48,1,-1,3,3,1,5,1,1,1,1,1,1,1,0,0,2,-1,0,0,0,0,Hello World!
10.Blue 2,Mason Silva ,10,b2,7030,1,-1,3,3,3,4,1,0,0,1,0,1,1,1,0,3,0,0,0,1,1,Hello World!
10.Blue 3,Autumn Schoenfeld ,10,b3,7903,0,0,2,2,3,2,1,1,0,0,0,0,0,1,1,4,1,0,1,0,0,Hello World!
10.Red 1,Tetra Ukav ,10,r1,271,0,1,1,2,1,3,0,1,1,1,0,1,1,0,1,-1,-1,0,1,1,1,Hello World!
10.Red 2,Arthur Sayre ,10,r2,1405,0,0,4,1,1,4,1,0,1,1,1,1,1,0,0,2,-1,1,1,1,0,Hello World!
10.Red 3,Colby Jackson ,10,r3,4458,1,-1,3,2,2,2,0,0,1,0,0,1,0,0,0,4,1,1,1,1,1,Hello World!
11.Blue 1,Andrew Crawford  ,11,b1,3173,1,0,3,2,1,3,1,0,0,0,0,0,0,1,1,-1,0,1,0,1,1,Hello World!
11.Blue 2,Ethan Stiffler ,11,b2,578,1,1,3,3,2,2,0,1,0,1,1,0,0,1,1,4,-1,1,1,0,1,Hello World!
11.Blue 3,Kai  Wilbur ,11,b3,432,1,0,2,2,2,1,0,1,0,1,1,1,0,0,1,4,1,0,1,0,1,Hello World!
11.Red 1,Connor Rapp ,11,r1,20,1,-1,1,2,3,4,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,Hello World!
11.Red 2,Tetra Ukav ,11,r2,10922,1,0,3,3,1,4,1,0,1,1,1,0,0,1,1,-1,1,0,0,1,1,Hello World!
11.Red 3,Madison DeCicca ,11,r3,1468,1,1,3,2,2,1,1,0,0,1,1,1,0,0,1,2,-1,0,0,1,1,Hello World!
12.Blue 1,Amanah Obaji ,12,b1,9767,1,0,4,1,3,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,Hello World!
12.Blue 2,Tetra Ukav ,12,b2,6423,0,1,4,2,2,2,1,1,1,0,0,0,1,0,0,-1,-1,1,1,0,0,Hello World!
12.Blue 3,Kai  Wilbur ,12,b3,1126,1,0,1,1,1,3,1,1,1,0,1,1,0,0,0,2,-1,0,1,1,1,Hello World!
12.Red 1,Andrew Crawford  ,12,r1,564,0,1,2,2,1,4,0,1,0,0,0,0,0,1,0,2,0,1,1,1,1,Hello World!
12.Red 2,Ethan Stiffler ,12,r2,4093,1,-1,5,2,3,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,Hello World!
12.Red 3,Dean Blanchard ,12,r3,1518,0,-1,3,2,2,4,0,0,1,0,1,0,1,0,0,-1,1,1,1,1,1,Hello World!
13.Blue 1,Nicholas Munier ,13,b1,3799,1,1,4,2,3,1,1,1,0,1,0,0,1,1,0,-1,-1,1,1,0,0,Hello World!
13.Blue 2,Arthur Sayre ,13,b2,3003,0,-1,5,3,3,1,1,1,1,0,0,1,0,0,0,2,0,0,0,1,0,Hello World!
13.Blue 3,Ethan Stiffler ,13,b3,4253,0,0,3,3,3,5,1,1,0,1,0,1,1,1,0,3,0,1,1,1,1,Hello World!
13.Red 1,Andrew Crawford  ,13,r1,1056,1,0,4,1,2,2,1,0,1,1,0,0,1,0,1,2,-1,1,0,1,1,Hello World!
13.Red 2,Celton Norter ,13,r2,10223,1,1,2,1,2,2,0,1,0,1,1,0,0,1,1,-1,1,1,0,1,1,Hello World!
13.Red 3,Kai  Wilbur ,13,r3,3181,0,0,5,1,3,5,0,1,0,1,0,0,1,0,0,4,0,1,1,0,1,Hello World!
14.Blue 1,Dean Blanchard ,14,b1,3838,1,0,4,1,2,5,0,0,1,1,1,1,1,1,1,3,1,0,0,0,0,Hello World!
14.Blue 2,Arthur Sayre ,14,b2,3951,0,1,1,2,2,3,0,0,0,1,1,0,0,0,0,2,-1,0,1,1,1,Hello World!
14.Blue 3,Domenic Giammusso ,14,b3,8503,1,0,2,1,2,5,0,1,1,1,1,1,0,0,0,-1,-1,1,0,1,0,Hello World!
14.Red 1,Rachel Case ,14,r1,810,1,1,3,1,2,5,1,1,1,0,1,0,1,1,1,4,-1,0,1,1,1,Hello World!
14.Red 2,Kai  Wilbur ,14,r2,144,0,-1,4,2,3,1,0,0,1,1,0,0,0,0,0,1,-1,0,1,0,1,Hello World!
14.Red 3,Carter Silva ,14,r3,5590,0,1,1,1,1,4,0,0,0,0,1,0,1,0,1,-1,-1,0,1,1,1,Hello World!
15.Blue 1,Autumn Schoenfeld ,15,b1,1450,0,1,2,3,2,2,0,0,0,1,0,0,0,1,1,3,1,1,1,1,1,Hello World!
15.Blue 2,Ethan Stiffler ,15,b2,3015,1,0,1,2,1,2,1,1,0,1,1,0,1,0,0,2,0,0,0,1,1,Hello World!
15.Blue 3,Ruth Christensen ,15,b3,9016,0,1,5,1,1,2,0,0,1,0,1,0,1,1,0,-1,-1,0,1,0,0,Hello World!
15.Red 1,Madison DeCicca ,15,r1,639,0,1,2,2,2,2,0,1,0,0,1,0,0,1,0,4,-1,1,0,1,0,Hello World!
15.Red 2,Domenic Giammusso ,15,r2,5528,0,0,1,2,1,4,0,0,0,0,0,1,0,0,1,3,-1,1,0,1,1,Hello World!
15.Red 3,Carter Silva ,15,r3,1591,0,-1,5,3,3,4,1,1,1,0,0,0,1,0,0,3,-1,0,1,1,1,Hello World!
16.Blue 1,Gianmarco D'Angelo  ,16,b1,378,1,-1,2,3,3,2,1,0,0,0,1,0,0,1,1,2,-1,1,1,1,1,Hello World!
16.Blue 2,Autumn Schoenfeld ,16,b2,1585,1,-1,1,2,1,1,1,0,1,0,1,0,1,1,0,3,0,0,0,1,0,Hello World!
16.Blue 3,Tetra Ukav ,16,b3,6947,0,1,2,3,2,2,1,1,0,0,0,1,0,1,1,4,-1,0,1,0,1,Hello World!
16.Red 1,Dean Blanchard ,16,r1,353,0,-1,1,3,3,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,Hello World!
16.Red 2,Celton Norter ,16,r2,4930,1,1,5,1,2,3,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,Hello World!
16.Red 3,Dean Blanchard ,16,r3,48,0,0,3,1,2,2,1,1,0,1,0,0,1,1,0,4,0,1,0,1,1,Hello World!
17.Blue 1,Rachel Case ,17,b1,424,1,1,3,2,2,1,0,0,1,1,0,0,0,0,0,2,-1,0,1,0,1,Hello World!
17.Blue 2,Gianmarco D'Angelo  ,17,b2,2228,1,1,1,2,3,3,0,1,1,0,0,0,0,0,1,3,1,0,0,0,0,Hello World!
17.Blue 3,Tyler Hignett ,17,b3,1787,0,-1,1,2,3,2,0,1,0,1,1,0,0,1,0,3,1,1,0,1,1,Hello World!
17.Red 1,Dean Blanchard ,17,r1,1781,1,-1,1,3,2,3,0,1,0,1,1,0,1,1,1,3,1,1,1,0,0,Hello World!
17.Red 2,Nicholas Munier ,17,r2,1507,0,0,2,2,3,5,0,0,0,1,1,1,1,0,1,2,0,0,1,0,0,Hello World!
17.Red 3,Dean Blanchard ,17,r3,2340,0,1,5,3,2,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,Hello World!
18.Blue 1,Colby Jackson ,18,b1,325,0,-1,1,2,2,2,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,Hello World!
18.Blue 2,Autumn Schoenfeld ,18,b2,694,0,0,3,3,3,4,1,1,1,1,1,1,1,0,1,2,-1,0,0,0,1,Hello World!
18.Blue 3,Autumn Schoenfeld ,18,b3,1559,1,1,4,2,3,1,0,1,0,1,0,1,0,1,1,-1,1,0,0,0,1,Hello World!
18.Red 1,Nicholas Munier ,18,r1,191,0,0,1,2,3,5,1,0,0,1,0,0,0,1,0,-1,1,0,1,1,1,Hello World!
18.Red 2,Eli Harrison ,18,r2,340,1,1,4,2,1,2,1,0,1,0,0,1,0,0,1,4,1,1,1,0,1,Hello World!
18.Red 3,Andrew Crawford  ,18,r3,3044,0,1,2,1,3,2,1,1,0,1,1,1,1,0,1,2,0,1,0,1,0,Hello World!
19.Blue 1,Gianmarco D'Angelo  ,19,b1,4253,0,-1,3,3,2,2,1,1,0,0,0,0,0,1,1,3,-1,1,0,0,0,Hello World!
19.Blue 2,Amanah Obaji ,19,b2,3173,1,-1,2,2,3,1,0,1,0,1,0,1,0,0,1,2,-1,0,0,0,1,Hello World!
19.Blue 3,Carter Silva ,19,b3,6868,1,1,1,3,3,4,0,0,0,1,1,0,1,0,0,4,0,1,0,1,0,Hello World!
19.Red 1,Connor Rapp ,19,r1,1511,1,-1,4,3,3,2,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,Hello World!
19.Red 2,Nicholas Munier ,19,r2,1126,0,-1,3,3,2,5,1,0,1,0,1,0,0,0,0,-1,1,0,1,0,1,Hello World!
19.Red 3,Dean Blanchard ,19,r3,1405,1,1,3,1,3,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,Hello World!
20.Blue 1,Carter Silva ,20,b1,7903,1,0,2,3,1,5,0,1,0,0,0,1,1,0,1,1,-1,1,0,1,0,Hello World!
20.Blue 2,Jonah Woika ,20,b2,3003,0,-1,1,3,1,5,0,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,Hello World!
20.Blue 3,Vaishu Das ,20,b3,3181,1,-1,4,1,3,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,Hello World!
20.Red 1,Nicholas Munier ,20,r1,9767,0,0,4,2,2,5,1,1,1,0,0,0,0,0,0,4,-1,1,0,0,0,Hello World!
20.Red 2,Nathan DeVito ,20,r2,10922,0,0,4,2,1,4,1,1,0,0,0,0,1,0,1,1,-1,0,0,1,0,Hello World!
20.Red 3,Autumn Schoenfeld ,20,r3,3838,1,1,1,2,1,3,0,0,0,1,1,0,0,0,0,-1,-1,1,1,0,0,Hello World!
21.Blue 1,Runa Hunt ,21,b1,9016,0,0,5,3,2,5,0,1,1,1,1,0,1,0,1,-1,1,1,1,1,0,Hello World!
21.Blue 2,Tetra Ukav ,21,b2,144,0,1,5,1,1,4,0,0,1,1,0,0,0,0,1,4,-1,0,1,0,1,Hello World!
21.Blue 3,Amanah Obaji ,21,b3,3799,1,0,5,2,1,4,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,Hello World!
21.Red 1,Matthew Mazzota ,21,r1,7030,1,-1,2,2,2,2,1,0,0,0,0,0,1,0,0,3,0,0,1,1,0,Hello World!
21.Red 2,Andrew Crawford  ,21,r2,20,0,-1,4,2,3,4,0,1,0,1,1,0,0,1,0,-1,-1,1,1,0,1,Hello World!
21.Red 3,Matthew Mazzota ,21,r3,3015,1,-1,5,1,1,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,1,Hello World!
22.Blue 1,Amanah Obaji ,22,b1,1585,1,-1,2,3,1,4,1,0,1,1,0,1,1,0,0,2,-1,0,0,0,1,Hello World!
22.Blue 2,Celton Norter ,22,b2,432,0,1,5,2,2,2,1,1,0,1,1,0,1,1,1,2,0,0,0,1,1,Hello World!
22.Blue 3,Connor Rapp ,22,b3,564,0,1,1,1,3,3,1,0,0,1,1,0,0,0,1,2,-1,0,0,1,1,Hello World!
22.Red 1,Amanah Obaji ,22,r1,3951,1,1,1,1,1,2,1,0,0,1,0,0,1,1,1,2,-1,0,0,0,1,Hello World!
22.Red 2,Nicholas Munier ,22,r2,1450,1,-1,2,2,3,1,1,0,0,0,0,0,1,0,0,4,1,0,0,1,1,Hello World!
22.Red 3,Tyler Hignett ,22,r3,6947,0,1,5,3,3,2,0,1,1,0,0,0,1,1,1,-1,0,0,0,0,0,Hello World!
23.Blue 1,Vaishu Das ,23,b1,4093,0,1,3,3,3,1,1,1,0,1,0,0,1,1,0,3,1,1,0,1,1,Hello World!
23.Blue 2,Ethan Stiffler ,23,b2,2228,0,-1,2,3,2,4,1,0,1,0,0,1,0,0,1,4,0,0,0,0,1,Hello World!
23.Blue 3,Jonah Woika ,23,b3,578,1,1,3,2,2,4,0,1,1,0,0,0,0,1,1,2,-1,0,0,1,0,Hello World!
23.Red 1,Amanah Obaji ,23,r1,1787,1,1,3,2,2,4,0,1,1,0,1,0,1,0,0,-1,-1,0,1,0,1,Hello World!
23.Red 2,Autumn Schoenfeld ,23,r2,378,1,1,3,3,3,1,0,0,0,0,1,0,1,1,0,4,-1,1,1,1,1,Hello World!
23.Red 3,Jonah Woika ,23,r3,1056,1,0,4,2,1,3,0,1,1,1,0,1,1,1,1,4,0,0,1,1,1,Hello World!
24.Blue 1,Celton Norter ,24,b1,48,1,0,1,1,3,1,0,1,1,0,1,1,0,1,0,4,1,1,0,1,1,Hello World!
24.Blue 2,Dean Blanchard ,24,b2,1781,0,0,5,2,1,3,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,Hello World!
24.Blue 3,Tyler Hignett ,24,b3,810,1,0,3,1,1,4,1,0,1,1,1,1,1,0,0,-1,1,0,1,0,0,Hello World!
24.Red 1,Amanah Obaji ,24,r1,639,0,1,4,1,3,5,1,1,1,0,1,0,1,0,0,3,0,1,0,1,0,Hello World!
24.Red 2,Celton Norter ,24,r2,325,1,-1,3,2,2,4,1,1,0,0,0,1,0,1,0,2,1,1,0,1,1,Hello World!
24.Red 3,Amanah Obaji ,24,r3,1518,0,-1,4,3,3,4,1,1,1,0,1,1,0,1,1,3,-1,0,1,1,0,Hello World!
25.Blue 1,Jonah Woika ,25,b1,2340,0,0,1,3,1,1,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,0,Hello World!
25.Blue 2,Dean Blanchard ,25,b2,5590,1,-1,1,1,2,3,0,1,1,0,1,1,0,0,0,1,-1,1,1,0,1,Hello World!
25.Blue 3,Nicholas Munier ,25,b3,191,1,1,5,3,3,4,1,1,1,0,1,1,0,0,0,4,1,1,1,1,1,Hello World!
25.Red 1,Kai  Wilbur ,25,r1,1559,0,-1,2,1,1,2,0,0,0,1,1,0,1,1,0,1,-1,0,0,0,0,Hello World!
25.Red 2,Arthur Sayre ,25,r2,1507,0,1,2,2,3,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0,1,Hello World!
25.Red 3,Amanah Obaji ,25,r3,4930,1,0,5,2,1,5,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,Hello World!
26.Blue 1,Carter Silva ,26,b1,694,1,1,4,2,1,3,1,0,1,0,1,1,0,0,0,-1,1,1,1,1,1,Hello World!
26.Blue 2,Nicholas Munier ,26,b2,271,0,-1,4,2,2,5,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,Hello World!
26.Blue 3,Madison DeCicca ,26,b3,1591,1,-1,4,3,1,1,0,1,1,0,0,0,1,1,1,-1,1,1,1,0,1,Hello World!
26.Red 1,Autumn Schoenfeld ,26,r1,6868,0,-1,1,3,1,2,1,0,0,1,1,1,0,0,1,-1,1,1,0,1,0,Hello World!
26.Red 2,Tyler Hignett ,26,r2,8503,1,1,5,1,3,4,1,1,0,1,0,0,0,1,1,4,1,0,1,0,0,Hello World!
26.Red 3,Colby Jackson ,26,r3,424,0,1,2,3,3,2,1,1,1,1,1,1,1,1,0,4,0,0,1,1,1,Hello World!
27.Blue 1,Madison DeCicca ,27,b1,353,1,1,3,2,3,4,1,0,1,0,0,1,1,1,1,2,0,1,1,0,1,Hello World!
27.Blue 2,Ruth Christensen ,27,b2,1511,1,-1,2,1,2,1,0,0,1,0,0,0,1,1,0,1,-1,1,0,1,1,Hello World!
27.Blue 3,Celton Norter ,27,b3,340,1,1,5,1,2,2,1,1,1,1,1,0,0,1,1,3,0,0,0,0,1,Hello World!
27.Red 1,Eli Harrison ,27,r1,4458,1,0,2,3,1,5,0,0,0,0,1,1,0,0,0,3,-1,0,0,1,0,Hello World!
27.Red 2,Gianmarco D'Angelo  ,27,r2,3044,0,-1,3,2,1,5,1,1,1,0,1,0,0,1,1,3,1,0,0,0,0,Hello World!
27.Red 3,Domenic Giammusso ,27,r3,10223,0,0,1,3,2,3,1,0,1,1,0,1,0,0,1,3,-1,0,1,0,1,Hello World!
28.Blue 1,Gianmarco D'Angelo  ,28,b1,7903,1,1,2,3,3,3,0,1,0,1,1,0,1,1,1,2,0,0,1,1,0,Hello World!
28.Blue 2,Colby Jackson ,28,b2,6947,1,1,3,2,3,1,1,0,1,1,0,0,0,1,0,4,0,1,1,1,1,Hello World!
28.Blue 3,Dean Blanchard ,28,b3,6423,1,1,1,2,1,1,0,1,1,1,0,0,0,0,1,-1,1,1,0,1,1,Hello World!
28.Red 1,Arthur Sayre ,28,r1,5528,0,-1,5,3,2,5,0,1,1,0,1,1,0,0,0,-1,1,1,1,1,0,Hello World!
28.Red 2,Colby Jackson ,28,r2,1468,1,-1,1,3,2,1,0,1,0,1,0,0,1,1,0,2,0,1,0,0,1,Hello World!
28.Red 3,Vaishu Das ,28,r3,144,1,-1,1,1,3,1,1,0,1,1,0,0,0,1,1,2,1,1,0,0,1,Hello World!
29.Blue 1,Dean Blanchard ,29,b1,20,1,-1,5,2,2,2,1,1,0,1,1,0,0,1,1,-1,0,1,1,1,0,Hello World!
29.Blue 2,Jonah Woika ,29,b2,1405,1,0,2,1,1,2,1,0,0,1,1,0,1,1,1,1,-1,0,0,0,1,Hello World!
29.Blue 3,Amanah Obaji ,29,b3,4093,0,0,5,3,2,5,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,Hello World!
29.Red 1,Celton Norter ,29,r1,3951,1,1,1,2,3,5,1,1,1,1,0,1,0,1,1,1,-1,1,0,1,0,Hello World!
29.Red 2,Arthur Sayre ,29,r2,3015,0,1,2,1,3,2,1,1,1,0,0,0,1,0,0,1,-1,1,1,1,1,Hello World!
29.Red 3,Andrew Crawford  ,29,r3,2228,1,0,5,2,3,2,1,0,1,0,0,0,0,0,1,4,1,0,0,0,0,Hello World!
30.Blue 1,Domenic Giammusso ,30,b1,1126,0,1,3,2,2,4,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,Hello World!
30.Blue 2,Carter Silva ,30,b2,7030,0,-1,4,2,2,5,0,1,0,0,0,1,1,1,0,4,1,0,1,1,1,Hello World!
30.Blue 3,Dean Blanchard ,30,b3,1781,0,0,3,3,3,1,0,0,1,0,1,1,0,0,0,-1,0,1,0,0,0,Hello World!
30.Red 1,Celton Norter ,30,r1,1450,0,1,5,3,3,5,0,0,1,1,0,1,1,1,1,2,1,0,1,0,1,Hello World!
30.Red 2,Celton Norter ,30,r2,578,0,-1,3,3,2,3,0,1,0,0,1,0,1,0,0,-1,1,1,1,1,0,Hello World!
30.Red 3,Ethan Stiffler ,30,r3,3003,1,0,4,1,3,5,0,0,1,1,0,1,0,0,1,-1,-1,0,0,1,0,Hello World!
31.Blue 1,Celton Norter ,31,b1,9767,0,-1,2,1,3,3,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,Hello World!
31.Blue 2,Celton Norter ,31,b2,1787,0,-1,1,1,1,4,1,1,0,0,0,0,0,0,1,3,1,0,1,0,1,Hello World!
